S.No.	Post Office	pincode	Taluk	City	Delievery Type
364	Kalekurthy B.O	515871	Kanekal	Ananthapur	Delivery
365	Kalipi B.O	515124	Roddam	Ananthapur	Delivery
366	Kallagiri B.O	515241	Gorantla	Ananthapur	Delivery
367	Kallumadi B.O	515611	Singanamala	Ananthapur	Delivery
368	Kallumarri S.O	515303	Madakasira	Ananthapur	Delivery
369	Kallur R.S. S.O	515774	Garladinna	Ananthapur	Delivery
370	Kalluru B.O	515465	Yellanur	Ananthapur	Delivery
371	Kalluru B.O	515331	Lepakshi	Ananthapur	Delivery
372	Kalugodu B.O	515863	Gummagatta	Ananthapur	Delivery
373	Kalvapalli B.O	515761	Beluguppa	Ananthapur	Delivery
374	Kalyam B.O	515865	D.Hirehal	Ananthapur	Delivery
375	Kalyandurg Bazar S.O	515761	Kalyandurg	Ananthapur	Non-Delivery
376	Kalyandurg S.O	515761	Kalyandurg	Ananthapur	Delivery
377	Kamalanagar S.O (Ananthapur)	515001	Anantapur	Ananthapur	Non-Delivery
378	Kamalapadu B.O	515408	Yadiki	Ananthapur	Delivery
379	Kamalapadu B.O	515832	Vajrakarur	Ananthapur	Delivery
380	Kamarupalli B.O	515751	Atmakur	Ananthapur	Delivery
381	Kamatampalle B.O	515521	Gandlapenta	Ananthapur	Delivery
382	Kambadur S.O	515765	Kambadur	Ananthapur	Delivery
383	Kammavaripalli B.O	515231	Gorantla	Ananthapur	Delivery
384	Kammuru B.O	515711	Kuderu	Ananthapur	Delivery
385	Kanaganapalli S.O	515641	Kanaganapalli	Ananthapur	Delivery
386	Kanakuru B.O	515767	Settur	Ananthapur	Delivery
387	Kanampalli B.O	515731	Garladinna	Ananthapur	Delivery
388	Kancharavandlapalli B.O	515556	Amadagur	Ananthapur	Delivery
389	Kanchisamudram B.O	515331	Lepakshi	Ananthapur	Delivery
390	Kandukur S.O	515721	Kandukur	Ananthapur	Delivery
391	Kanekal S.O	515871	Kanekal	Ananthapur	Delivery
392	Kanisettipalli B.O	515341	Chilamathur	Ananthapur	Delivery
393	Kanisettipalli B.O	515144	Kothacheruvu	Ananthapur	Delivery
394	Kannepalli B.O	515763	Brahma Samudram	Ananthapur	Delivery
395	Kanumukkala B.O	515651	C.k. Palli	Ananthapur	Delivery
